recipient,amount
0x8a5658c67c5a28885e8dac103b3400b186025e93,347724318641857000000
0x63d0d7d8ec78591801089e15819d4cd1e133f05d,167514729120764000000
0xc47919bbf3276a416ec34ffe097de3c1d0b7f1cd,161187438139086000000
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,140276141585752000000
0x0783abc1e6f1eb93b80024a056492e314d949986,111950565570272000000
0xd817c1ea14ccd88cf3dba52269edec4667a575b5,111074410936791000000
0x9fa933f60bcc5e63f75f210929839f91f55b919c,103987164895348000000
0x20b7807939c774a152b396beb704acac68fa10fe,75783792887895100000
0x0deb42dbb5021f66bb906a304d061e8944173ab6,70263425817076500000
0x5bd8eff5967b1f1812fda2d5e5802d28d1cd793c,70129420265349800000
0x28f71b96e3fe92bba03f7abd01aa587ebdbe1176,69208945079482400000
0x99f7e042df9688be3f57b45b08d9e2fc514dd657,64593825285153900000
0x4161233597d8ae59db066dc20788e11b738303b1,63245845616559900000
0x54692cb1cb4f48db074b9fd691c2b44267194184,61905050231494000000
0x7c4d90411d9158ef1cfe9154c26707dc43555a0a,61500745167682900000
0x741d2cbf05ccdcaf537692ebdeb1dd86039d6db7,57818762505527900000
0xb680f628c56c8fa368dacbb0c27beef8c98355b9,55440515079605600000
0xffffe6c261fac5ea28c41e71672b482efbad8e4b,54231421353259800000
0xbe18f84532d8f7fb6d7919401c0096f3e257db8b,46668647278895000000
0x9c8006c983c4147440e0dc6e91fdd0a3533f739d,44735989807283200000
0x00c0db2b6d538ee7f27536854374d95130c9802d,42878201283398500000
0x3d45b4b618f930c1b14a25166725b1bfbc45bef2,42577207581584100000
0x5b94330ba00724ef5ac4422838060f26cfa535dc,38372764760499400000
0xf961e5e6c5276164adb2865b7e80cf82dc04e920,36761656809900800000
0x22561c5931143536309c17e832587b625c390b9a,35382956719977700000
0x99f3d647ce96eddc9a3ac8ccb0956628c8f327d1,34998988520373200000
0x57596ea15be8f36e4104ba570144d154d604b0c5,34414497852113200000
0x57aa4d860e2b8a32b4aa57c5199e9c21ca3591d5,33882624670134500000
0x59ed2ae51408899dab355a7f769e58cdb89db181,33168484769564300000
0xc4f6a96846fcc8e773158e34d166a40b3bc19898,32084450236647800000
0x7e744b70a3bc965a5c127ad63a98aa2393466984,31751330941068400000
0x67a7add958adc4a2e7a11d4a631fe1a684057488,30132707087243300000
0x715b4ecfb92d3e74903bcd26e7da719141cbc2dd,29098150430383200000
0x011492e973e8825076420efaef19d8f242c7e2d7,28645926545267100000
0x2b4c1a656a598151305241153bf8209c925a30e7,28163250273425700000
0x125789ecf75a6bf8e29db4df0222b1e7e3b7680a,27836291748113000000
0x94a3c225d8d469eb578a8a81a7301a357807d966,27448284187461100000
0xc73df1e68fc203f6e4b6270240d6f82a850e8d38,27352818577156200000
0x8094ba6fb96a4ec2bdee109f636598a3de1b5cc8,25611510667480100000
0x5d137074c91bc15e7f7cd619a733a3b28aa78856,25581775610302200000
0x7d53f718c8799110bd8598f9aad4a1fb109aa0ab,24032527482017400000
0xa2ebd97892502847061fe611efd5e289dbfa0703,23650836239947300000
0x1e7bc5cac3a92ed4aa079731d8fef0ccfa28d90c,23448926266317000000
0x50b8bc290c2c5622fea9bc426fceb8f35ad1aedb,23239669434411400000
0xa70e6fe4488104be32b9b657f5be7b68afc17f9a,22955610589330800000
0xcb9ecadf773322610f94bdc8b5af1d125613da77,22620003363440100000
0x976fdc5dfa145e3cbc690e9fef4a408642732952,21929799522420800000
0x65735aae8a75b4087ecd805c0d840fcedbd34883,21903399522806800000
0x734f806c8509ea8bb84cba2853085836fcccff48,21198997390120700000
0x1a9d7e59f3469300a8c2d862fafd0f16b8ceecba,21181540253214100000
0x78ff52d4c56135099a6504af9312f2de2b81026d,20686447058964200000
0x862c6f0373ac129fc66a324b234943139ca10c92,20057791483527500000
0x75f1f9bfcbe0f0320fe1d26f245ab50d812ed47b,19777123484330500000
0x34d35895aee474e3c37881ff5db24ae01856dc9e,19533274327162600000
0xe1bb7ce1401adb55e72e36b6af42a963dc649141,18769263599810000000
0x757ec42f7e9b8413a735caa9b3fb81f8eeffd1f0,18120553240821500000
0x4a6f86249b40cfedebe9f4f5ba360c19e5453fe6,17300308848762400000
0x1e556616494e451139b6092155c2bc0057f34d40,16971464762588600000
0xcf02b16eb051ff2526aa8b79fe6f21487d829db2,16703582067245800000
0x7cd92c6a0d4fc995c258e3f7abb7a7dc176714bb,16600785098077400000
0x1b81ca56179f5b7f3a9e0edca0754b9b3eebef60,16489616581275200000
0xc09b592a25e4552fa0e6b94e0d2eda7835ccd9d8,16381698749963100000
0x39df9c9d62115aa0b8f4a3e2400919af24abb6d9,16048700853401300000
0xa4242b863e39ef335f35a6b9052e439f6f7fe0d7,16020667759946900000
0x2369162d6f687fa2c5bc34642ace1e280e2b5934,15524100308867200000
0xbdf4577d21579c3f98f7e84a370511276af3dcf2,15515976637815900000
0x0194d076503771b976a062c4cde310b13d3e9960,15102442387564800000
0xdb00ae79cd2c1c43a23958177f64469d23ccc79c,15035160085919600000
0x4412307bf3b2d384e217290f6e3e8f82b53869a4,14944725138068400000
0x7a0154023ee954c69ac22d98751a09a42515f4fc,14859734243943400000
0x64eb23db7c7cc95e93dd353bddd07acaa36eb2d6,14640521317822100000
0x1f882959b010c99b920e8865e80baae914bbf43a,14621417115597200000
0x78d8e8807f652b54afe33b7645a26c5ffae5291c,14469044328517100000
0xec476b7411b4dae713bd52091f208f041363df60,14241999673683300000
0x7cf20a1bb4cae92df714eaf760814860ed5f785f,13998625244324600000
0xaaa313393e79ea3454939e843e0aa8dec66a9949,13975517859538700000
0x5da487ea7278e25288fd4f0f9243e3fa61bc7443,13578343472844200000
0x488ed54ca0ae6d64683286278be99e9c3a9c203e,13563143040422500000
0x7de0083fdb3bb7034e5fb23a0671f795800aebed,13449472589359900000
0x5e262a549c5d67cda4e87f30262f3cb3ac33a1a9,13249076695511000000
0xa664325f36ec33e66323fe2620af3f2294b2ef3a,13222546856856700000
0x3859fc2abe68b16669658368bd6aece648e7456a,12702082473461800000
0x5e1ddbf30651d056d744ba2124a1ab9183cb74c9,12644380626335700000
0x64e00561fa9b1f2f2048b2d4f571279689dd9541,12299625274139000000
0x64fbd4a641093f5756a6e4203974983981da9faf,11560710356874600000
0xf662544be51cea0db3317f7e1a6df07a348c73af,11325212425016900000
0xc579ef8b14774bd15c021d2c0aafd04bdd7dd137,11068669759247900000
0xc28a78a1119c530ce6035d474fe616c4eec4ee57,10979370919327100000
0x92c6f8f00a21a586ffd2b0d0ed473585464724a6,10968767895979000000
0x4ae8eef1c08e912bff6f1dba435d29ae273e6d7f,10915097784515900000
0x82d6b7f9477c9630b16bd24c270d2b51d5904b91,10907510072178700000
0xc00c673ee49edbd3a797cf5c70117158e0746709,10897684356834100000
0x0b235b1a57707806c3cda99b57cb3cef36ad0c14,10835481688072600000
0xe29999070368edebcb170647d6bfde11b32767a8,10828406339733600000
0xfee6e9a1ac0571ed121189e593847982515f8b53,10427620940631100000
0x92e22fff036845f2a1eb40214eddd7474a904c0f,10293468980431200000
0xc25b3ecf8729672d939cdf7580c7b03e2fe2da81,10180442217540300000
0x4281eb38f66be4cdbc43030af01bb722b787a2a6,9858554300739810000
0x5ff5b5477cb8c175052fbff9ba9245923c9d6a38,9823317224521030000
0xfd908dc02a2c241075253575ff4b0fe0cf8ea296,9808134546833290000
